,Brand,Product,UserName,Recommend,PostDate,Review,Rating,SkinCond,Age,positivity,clean_text
31,Hada Labo,Perfect 3D Gel,spring23,Recommend,2020-08-08,"Teksturnya unik banget! Gel yang bouncy gitu. Kalo produknya diambil, langsung kembali ke posisi semula, rata. Warnanya benar2 bening, tidak ada wangi apapun. Setelah pakai ini kulit saya jadi super kenyal! ga bikin wajah oily juga. Produknya udah lama habis, tapi saya ... Read more",5,Combination,19 - 24,1,tekstur unik banget gel bouncy gitu kalo produk ambil langsung posisi warna bening wangi pakai kulit super kenyal ga bikin wajah oily produk udah habis read more
32,Hada Labo,Perfect 3D Gel,Hesstif,Recommend,2020-08-07,"pake ini kalo kebanyakan bisa bikin muka ky disiram pk minyak, tp kalau pake nya tipis2 asli ini works bgt, bnr2 semelembabkan ituuuu, apalg dipakai sebelum makeup. makeupnya jd lebih nempel. so far sih gak bikin bruntusan. and yeah i like this moisturizer",4,Combination,19 - 24,1,pake kalo bikin muka ky siram pk minyak tp pake nya tipis asli works bgt bnr semelembabkan ituuuu apalg pakai makeup makeupnya jd nempel so far sih gak bikin bruntusan and yeah i like this moisturizer
33,Hada Labo,Perfect 3D Gel,Casanova,Recommend,2020-08-07,"(SOLD) Tekturnya unik bgtt, trs yg paling aku suka dia BIKIN GLOWING GT stlh make. Meresap nya jg cpt bgt. Tp klo pake nya kebanyakan jd lengket. Ini bgs bgt buat yg pake make up, jd nempel trs make up nya kaya tahan gt. Tp syg bgt di muka ku yg super oily ini dia krg n ... Read more",5,Oily,18 and Under,1,sold tekturnya unik bgtt trs yg suka bikin glowing gt stlh make resap nya jg cpt bgt tp klo pake nya jd lengket bgs bgt yg pake make up jd nempel trs make up nya kaya tahan gt tp syg bgt muka ku yg super oily krg n read more
34,Hada Labo,Perfect 3D Gel,tasyainnama,Not Recommend,2020-08-06,"Pertama kali tertarik karena ini banyk yang review bagus akhirnya mau nyoba, pertama agak kaget dengan bentuk creamnya yang lumayan unik. aku coba ternyata gk cocok sama sekali. 3 hari pake banyak jerawat dan beruntusan akhirnya aku coba stop, tapi masih penasaran akhir ... Read more",1,Combination,19 - 24,-1,kali tarik banyk review bagus nyoba kaget bentuk creamnya lumayan unik coba nyata gk cocok pake jerawat beruntus coba stop penasaran read more
35,Hada Labo,Perfect 3D Gel,Rahmayosifa,Not Recommend,2020-08-05,"aku ga cocok, baru pake pertama udh keluar bruntusan gitu, ga berani nerusin 😭 mau preloved kali aja ada yg mau.. masih kepake 3x, aku jual 70k , free ongkir daerah jawa.. minat chat w.a 087700920160 , thankyouu 🤗",3,Combination,19 - 24,0,ga cocok pake udh bruntusan gitu ga berani nerusin  preloved kali aja yg kepake x jual k free ongkir daerah jawa minat chat wa thankyouu 
36,Hada Labo,Perfect 3D Gel,tokyodre,Recommend,2020-08-03,"[PRELOVED] gak suka bgt sama tekstur gel nya☹️ entah kenapa kek lengket gt hasilnya pokoknya gak suka huhu, masih penuh gapernah aku pake lagi.. jadi aku jual aja 80k (aku beli 87.500 lagi diskon dari 112.000) masih penuh yaa, ongkir bisa diaturr shopee only, tapi kalo ... Read more",3,Oily,18 and Under,0,preloved gak suka bgt tekstur gel nya kek lengket gt hasil pokok gak suka huhu penuh gapernah pake jual aja k beli diskon penuh yaa ongkir diaturr shopee only kalo read more
37,Hada Labo,Perfect 3D Gel,aishdwie,Not Recommend,2020-07-30,[SOLD]baru pertama kali nyoba dan beli karna liat yt di famaledaily trs aku pake pertama kali dimalam hari besok pagi nya bruntusan☹️ trs aku pake lagi dipagi dan malam eh lusa nya makin memerah😭 jadi aku mutusin untuk berhenti karna spt nya gacocok di aku dan aku mau ... Read more,2,Combination,19 - 24,-1,soldbaru kali nyoba beli karna liat yt famaledaily trs pake kali malam besok pagi nya bruntusan trs pake pagi malam eh lusa nya merah mutusin henti karna spt nya gacocok read more
38,Hada Labo,Perfect 3D Gel,Hifza_Faranesa,Recommend,2020-07-30,"Bentuknya gel bening gtu, katanya gaada baunya tpi menurut aku ini ada sedikit bau apa gtu, terksturnya agak lengket klo baru mau aply tpi buat di kulit yg normal to dry dia cepet merasap dan gak lengket lagi. Paginya di bagian Tzone sedikit berminyak. Kalo untuk mencer ... Read more",5,Dry,19 - 24,1,bentuk gel bening gtu gaada bau tpi bau gtu terksturnya lengket klo aply tpi kulit yg normal to dry cepet merasap gak lengket pagi tzone minyak kalo mencer read more
39,Hada Labo,Perfect 3D Gel,savmdy,Recommend,2020-07-27,"kulit jd breakout. sebelumnya ga pernah beruntusan skrng jd beruntusan, muncul jerawat jg ditempat tempat yg ga biasa jerawatan, kulit ku skrng juga kerasa bertekstur dan banyak kemerahan kemerahan dipipi mungkin iritasi(?). buat yg acne prone sebenernya bagus soalnya i ... Read more",1,Oily,18 and Under,-1,kulit jd breakout ga beruntus skrng jd beruntus muncul jerawat jg yg ga jerawat kulit ku skrng tekstur merah merah pipi iritasi yg acne prone sebenernya bagus i read more
40,Hada Labo,Perfect 3D Gel,prnmasari,Recommend,2020-07-27,"Jadi aku nyoba pake ini karna mau ganti pelembab yang lebih murah. Warnanya bening, teksurnya tu gel gitu dan gada baunya sama sekali. Awal pake kayak merasa kering gitu muka, eh lama kelamaan kulit malah tekelupas gitu bagian pipi deket hidung:(. Aku nyoba juga karna s ... Read more",2,Combination,19 - 24,-1,nyoba pake karna ganti pelembab murah warna bening teksurnya tu gel gitu gada bau pake kayak kering gitu muka eh kulit tekelupas gitu pipi deket hidung nyoba karna s read more
41,Hada Labo,Perfect 3D Gel,neniandita,Recommend,2020-07-26,bagusss... teksturnya unik gel bening gt yg klo diambil produknya bakalan lgsung kembali ke bentuk semula. selama pake ini keliatan hasilnya dmuka jd moist trus lebih cerah. minusnya agak lama nyerepnya apalagi kalo pake agak banyak trus walopun uda nyerep masih berasa ... Read more,4,Combination,35 - 39,1,bagusss tekstur unik gel bening gt yg klo ambil produk lgsung bentuk pake liat hasil dmuka jd moist trus cerah minus nyerepnya kalo pake trus walopun uda nyerep asa read more
42,Hada Labo,Perfect 3D Gel,ulfipujakesuma,Not Recommend,2020-07-23,"pas apply produknya mukaku perih, karena emg sensitif kali yaa. mencerahkan iyaa, tp bikin bruntusann karena ga cocok. dan rasanya gatel tu bruntusannya. gacocok dah intinyaa waalaupun works di mencerahkannya. cerah doang tp bruntusan buat ape :(",2,Normal,19 - 24,-1,pas apply produk muka perih emg sensitif kali yaa cerah iyaa tp bikin bruntusann ga cocok gatel tu bruntusannya gacocok dah intinyaa waalaupun works cerah cerah doang tp bruntusan ape
43,Hada Labo,Perfect 3D Gel,y0ukha23,Recommend,2020-07-22,"Cocooook banget pake ini, udah lama sih makenya. Yang jelas di aq, gak bikin iritasi,purging,breakout dan sejenisnya. Teksturnya gel banget dan gak ada wangi2nya jg,tp kalau udah dipake di kulit wajah,masih agak lengket2 gitu prtmanya trus meresap gak lama sih. Aq gak t ... Read more",4,Oily,30 - 34,1,cocooook banget pake udah sih makenya aq gak bikin iritasipurgingbreakout jenis tekstur gel banget gak wangi jgtp udah dipake kulit wajahmasih lengket gitu prtmanya trus resap gak sih aq gak t read more
44,Hada Labo,Perfect 3D Gel,Arfanisa,Recommend,2020-07-20,"1. gel nya ga lengket, cepet meresap, tapi setelah kering, kaya membentuk lapisan yang kaku gitu, kayak pakai masker peel off bening. agak kurang nyaman sih buat aku 2. ga bikin BO 3. saat di apply ga ada wangi yg nyengat, tapi justru tangan aku utk apply gel ini ada ba ... Read more",4,Dry,25 - 29,1,gel nya ga lengket cepet resap kering kaya bentuk lapis kaku gitu kayak pakai masker peel off bening nyaman sih ga bikin bo apply ga wangi yg nyengat tangan utk apply gel ba read more
45,Hada Labo,Perfect 3D Gel,FadilaNuraini25,Recommend,2020-07-19,"Awalnya kulit aku tuh kering banget dehidrasi gitu aku coba produk ini baru pakai 2 hari kulit keringku langsung hilang dong kulit aku kenyal lembab banget type kulit aku kombi dry sensitive, kalau produk ini habis aku bakalan beli lagi habisnya bagus banget dikulit aku ... Read more",5,Combination,19 - 24,1,kulit tuh kering banget dehidrasi gitu coba produk pakai kulit kering langsung hilang kulit kenyal lembab banget type kulit kombi dry sensitive produk habis beli habis bagus banget kulit read more
46,Hada Labo,Perfect 3D Gel,kanity,Recommend,2020-07-19,"emang bagus buat dijadiin base makeup/primer 🥺🙌🏻 foundie bedak semuanya jadi nyatu, flawless gitu keliatannya . tapi gatau perasaanku apa gak, ini bisa nguap ya? soalnya aku jarang pake tapi lama lama makin dikit . padahal bentuknya gel gitu",4,Combination,19 - 24,1,emang bagus dijadiin base makeupprimer  foundie bedak nyatu flawless gitu liat gatau asa gak nguap ya jarang pake dikit bentuk gel gitu
47,Hada Labo,Perfect 3D Gel,ellenDeLouise,Recommend,2020-07-19,awalnya sih pas udah beli pembersih Hada Labo sekalian liat-liat produk Hada Labo yg lain..dan tertarik ma anti aging ma katanya bisa cetahin wajah jadi deh beli dan bener2 enak sih dimuka adem bangun2 muka cerahan tapi ga enaknya itu pas aplikasiin kemuka ya padahal be ... Read more,5,Oily,30 - 34,1,sih pas udah beli bersih hada labo liatliat produk hada labo yg laindan tarik ma anti aging ma cetahin wajah deh beli bener enak sih muka adem bangun muka cerah ga enak pas aplikasiin muka ya be read more
48,Hada Labo,Perfect 3D Gel,noniean,Recommend,2020-07-18,"Di kulit aku yg oily parah tu agak susah mereseap ya pdhl bentukannya udh gel hiks. Trus temenku yg kulit normal cobain malah bagus dianya make cpt meresap, cuma harganya emang agak kurang bersahabat di kantong Mahasiswi hehe. Akhirnya aku ngasih ke tanteku, dan bgus ba ... Read more",3,Oily,19 - 24,0,kulit yg oily parah tu susah mereseap ya pdhl bentuk udh gel hiks trus temenku yg kulit normal cobain bagus make cpt resap harga emang sahabat kantong mahasiswi hehe ngasih tante bgus ba read more
49,Hada Labo,Perfect 3D Gel,nataliathana26,Recommend,2020-07-17,"Bagus banget untuk yg kulitnya oily bentuknya gel satu produk 3 fungsi ada anti aging, mencerahkan,dan melembapkan. Aku ga terlalu suka pas diapply ke muka sih teskturnya. Aku preloved aja kondisi 90% 70k aja masih banyak higienis kok aku pake spatula ngambilnya. Dom ba ... Read more",5,,18 and Under,1,bagus banget yg kulit oily bentuk gel produk fungsi anti aging mencerahkandan lembap ga suka pas diapply muka sih teskturnya preloved aja kondisi k aja higienis pake spatula ngambilnya dom ba read more
50,Hada Labo,Perfect 3D Gel,selvigabrielaa,Recommend,2020-07-16,Aku direkomendasikan banget sama iparku krn hasilnya di dia + mertuaku bagus banget. Mukanya yg beruntusan jd lebih bagus. Untungnya dia suruh coba dl dan dikasihlah aku sample. Teksturnya lucu kaya slime jd pengen dipencet2. Bening dan hampir tak berbau sih menurut aku ... Read more,2,Combination,30 - 34,-1,rekomendasi banget ipar krn hasil mertua bagus banget muka yg beruntus jd bagus untung suruh coba dl kasih sample tekstur lucu kaya slime jd ken pencet bening bau sih read more
51,Hada Labo,Perfect 3D Gel,yulianiduwii,Recommend,2020-07-15,Teksturnya bener-bener gel ya. Jujur kurang suka sama baunya (kaya bau apek gitu) tapi emang gak ada fragrancenya sih. Lengket banget waktu diaplikasikan dan bikin muka lembab. setelah pake ini muka jadi kenyal sih cuman bikin mukaku jadi kusam,4,Oily,19 - 24,1,tekstur benerbener gel ya jujur suka bau kaya bau apek gitu emang gak fragrancenya sih lengket banget aplikasi bikin muka lembab pake muka kenyal sih cuman bikin muka kusam
