Brand,Product,UserName,SkinCond_Age,Recommend,PostDate,Review,Rating
Hada Labo,Perfect 3D Gel,SherayA,"Dry, 19 - 24",SherayA recommends this product!,05 Sep 2020,"seneng pake ini!karna dia bantu calming kulit agar tidak merah & meredakan ukuran jerawat yg ada, aku pake di malam hari, bangun2 selalu terlihat ada perubahan! luv. utk tekstur dia lengket &kentel, dia juga ga berbau. skrg isinya udh abisss",4
Hada Labo,Perfect 3D Gel,skincareforia,"Combination, 19 - 24",skincareforia recommends this product!,03 Sep 2020,"aku pake ini langsung auto glowing! dan tiap pagi habis bangun tidur, kulitku masih lembab dan kerasa smooth. ini juga oke dipake sebelum pake makeup, bikin tambah nampol dan nggak geser. Teksturnya gampang diratain, konsistensinya berubah jadi lebih cair. di aku emg bu ... Read more",5
Hada Labo,Perfect 3D Gel,draning,"Dry, 19 - 24",draning doesn't recommend this product!,02 Sep 2020,"Ngabisin 1 jar dan pake tipis-tipis tiap malem selama hampir 1,5bulan. Lembap but afterusednya super duper tacky.... dan kerasa ga menyerap produknya meski uda lewat semaleman, bangun pagi masih lengket dan jadi ada lapisan tipis gitu yg kalo digosok kayak daki 😹 tapi ... Read more",2
Hada Labo,Perfect 3D Gel,salmonvsmakeup,"Oily, 19 - 24",salmonvsmakeup recommends this product!,02 Sep 2020,"wow, ini aneh bat kek slime wkwkkw unch ugha teksturenya, ini GLOWING bat kalo dipake but ga lengket, ahhh luvvvv. harganya ga mahal karna dipake lama ga abis abis. gabuat breakout, ga bruntusan. moisture banget tapi langsup nyerep ga kayak pake apa apa recommend? coba ... Read more",5
Hada Labo,Perfect 3D Gel,aghniagputri,"Oily, 19 - 24",aghniagputri recommends this product!,02 Sep 2020,Produk the best banget jatuh cinta sama ini produk gak tau mau bilang apa lagi tiap pagi sama malem sllu aku pake sblm pake day cream hasilnya sebagus itu tuhaaan ❤️❤️❤️ karena waktu di kaish itu barang endorse tapi ternyata aku jatuh cinta banget,5
Hada Labo,Perfect 3D Gel,Nirmala16,,Nirmala16 recommends this product!,01 Sep 2020,"mau preloved aja, sebenrnya aku jadiin mois malem aku, sebenernya enak banget, bangun pagi muka jadi terlihat dewy dan halus aja gitu, ga bikin bo dan minyakan. melembabkan sekali. tapi aku ga suka sama kesan awalnya yang lengket jadi mau preloved in murah aja, isi masi ... Read more",4
Hada Labo,Perfect 3D Gel,Shafakhrnnisa24,"Oily, 19 - 24",Shafakhrnnisa24 doesn't recommend this product!,30 Aug 2020,"Awalnya tertarik bgt karna dia bentuknya gel dan harusnya cocok bgt di skin type yg oily. Tapi menurut aku ini malahan tipe gel nya yg agak thick dan mirip jelly gitu, jadi pas di aplikasiin di muka tu kayak berasa lengket gitu. Dan bener aja abis pake ini malah timbul ... Read more",3
Hada Labo,Perfect 3D Gel,dyahfebri,"Combination, 19 - 24",dyahfebri recommends this product!,30 Aug 2020,"Ini harusnya jadi moisturizer kesayangan oily skin typ, karena dia come with gel texture. Tapi gatau kenapa aku ga begitu suka karena lumayan lengket after usenya. Overall dia bagus buat sleeping mask, contains niacinamide juga, kalo dipake rutin dan sabar bisa ilangin ... Read more",4
Hada Labo,Perfect 3D Gel,Sanym_,"Dry, 19 - 24",Sanym_ recommends this product!,29 Aug 2020,"katanya produk ini tuh bagus banget buat ngelembabin gtu, tp dimuka aku gak cocok malah timbul jerawat. btw kulit aku sensitif banget.. aku beli sekitar 90 an sekrng mau preloved baru pake 2x aku juga ada shopee kok. 60k aja serius:(",3
Hada Labo,Perfect 3D Gel,Vionamarcelina,"Combination, 19 - 24",Vionamarcelina doesn't recommend this product!,29 Aug 2020,"Beli ini karena aku cocok banget pake moisturizer hada labo. Banyak bgt yg bilang hadalabo ini dupe nya illamasqua dengan harga yang super affordable. Tapi ternyata di aku malah kurang cocok. Abis pake malah jadi beruntusan, jadi langsung stop pake",4
Hada Labo,Perfect 3D Gel,domokyun,"Oily, 25 - 29",domokyun doesn't recommend this product!,22 Aug 2020,"Waktu masa awal trial and error skincare, hada labo merupakan merk yang jadi incaranku dan tentu saja Perfect 3D Gel ini tidak luput dari incaran. Dengan embel-embel super melembapkan karena memiliki kandungan empat jenis Hyaluronic Acid, Arbutin, dan Niacinamide, serta ... Read more",3
Hada Labo,Perfect 3D Gel,mariaangelica12345,"Combination, 19 - 24",mariaangelica12345 doesn't recommend this product!,21 Aug 2020,"Awal awal aja sih sama aku yg bagus makenya, udh lama lama kayaknya dia menimbulkan kegatalan di wajah gitu, pdhl udh ringan katany bingung banyak yg bilang ini bagus tapi di aku enggakk bingung nyari moisturizer yang mana lagi, masih banyak isinya terlantar bgitu saja",3
Hada Labo,Perfect 3D Gel,nadiant,"Dry, 25 - 29",nadiant recommends this product!,21 Aug 2020,"Suka aja sih sama teksturnya yg gooey dan sensasinya dingin pas diaplikasiin, efek melembabkan ada, bangun2 kulit kenyal. Tapi setelah dipake tiap hari selama semingguan bikin komedoan parah di hidung sayang bgt. Aku rekomen utk kalian kalau pakai ini kalau bisa peeling ... Read more",3
Hada Labo,Perfect 3D Gel,singularityy,"Combination, 18 and Under",singularityy recommends this product!,21 Aug 2020,"Ini cream malam unik bgt, teksturnya kayak slime gitu, aku pake ini baru 5 kali kalo ga salah inget wkwk, dia lengket gitu di muka dan ada rasa cekit cekit kalo kena jerawat atau bekasnya yg meradang. Yg aku liat hasil pemakaian cream ini dia buat bekas jerawatku yg PIE ... Read more",5
Hada Labo,Perfect 3D Gel,virna99,"Combination, 25 - 29",virna99 recommends this product!,20 Aug 2020,"first impression aku pake, teksturnya unik bgt gel bening klo disentuh awalnya kaya jelly yang baru mau jadi hehe unik tapi pas diambil gel nya aga berubah jadi kaya liquid gt pokonya unik, dan ada sensasi dingin pas dipake di muka pas awal apply, awalnya aga lengket ta ... Read more",5
Hada Labo,Perfect 3D Gel,dhitachi,"Combination, 30 - 34",dhitachi recommends this product!,19 Aug 2020,"Teksturnya gel bening, mirip gel lidah buaya. Dingin ketika digunakan di kulit, ada sisa lengket2 tapi tidak lama. Saya pakai malam2 pas mau tidur, pagi2 harinya kulit berasa halus dan lembut, twkstur kasar2 ilang aja gitu. Enak sih.. produk hada labo jarang ada yg gaga ... Read more",4
Hada Labo,Perfect 3D Gel,ratnabizzle,"Oily, 19 - 24",ratnabizzle recommends this product!,18 Aug 2020,"Ini tuh bagus bgt di kulitku yg oily acne prone. Bahkan kalo ada jerawat pun, sekarang aku bodo amat, gamau pake obat totol lagi. Krn pake ini jg ntar jerawatnya kempes sendiri. Trus dia bkin lembab, sama cerah juga, dan ga greasy.",5
Hada Labo,Perfect 3D Gel,putrisukma24,"Combination, 19 - 24",putrisukma24 doesn't recommend this product!,17 Aug 2020,"teksturnya unik gitu kya gel dan jadinya pas diambil agak susah sih karena setelah di colek dia bisa aja jatuh lagi ke wadahnya kalau ga cepat-cepat di aplikasikan ke kulit, setelah diaplikasikan enak sih cuma krna dia agak lengket itu ga cocok kalau dalam ruangan yang ... Read more",4
Hada Labo,Perfect 3D Gel,neysarahmaf,"Combination, 19 - 24",neysarahmaf recommends this product!,16 Aug 2020,"I think this might be my holy grail! Setelah sebulan pemakaian udh terlihat hasilnya kalau kulitku jadi nggak gampang minyakan dan lebih halus di keesokan paginya. Biasanya aku cuma pake hydrating toner & besoknya minyakan terutama di hidung. setelah pakai ini, jadi leb ... Read more",5
Hada Labo,Perfect 3D Gel,noirkv,18 and Under,noirkv doesn't recommend this product!,15 Aug 2020,"baru sekali pakai, besoknya langsung tumbuh jerawat gede gitu huhu padahal naruh ekspektasi banget karena review di kulit kombinasi lumayan bagus :(( teksturnya juga agak lengket pas diaplikasikan ke muka, kurang suka packaging nya juga :((",2
Hada Labo,Perfect 3D Gel,Sofia_Dj,"Normal, 40 - 44",Sofia_Dj recommends this product!,08 Aug 2020,"Aq baru bs review skrng. stelah skian lama coba..dia ga masalah dikulitku. mlh bner2 bkin cerah, moist lembab dan garis2 halus agak memudar alhamdulillah. dan yg terpenting dia bs bantu pemulihan bruntusanku yg iritasi. skrng udh mulai mngering dan hadalabo 3D gel ini m ... Read more",5
Hada Labo,Perfect 3D Gel,spring23,"Combination, 19 - 24",spring23 recommends this product!,08 Aug 2020,"Teksturnya unik banget! Gel yang bouncy gitu. Kalo produknya diambil, langsung kembali ke posisi semula, rata. Warnanya benar2 bening, tidak ada wangi apapun. Setelah pakai ini kulit saya jadi super kenyal! ga bikin wajah oily juga. Produknya udah lama habis, tapi saya ... Read more",5
Hada Labo,Perfect 3D Gel,Hesstif,"Combination, 19 - 24",Hesstif recommends this product!,07 Aug 2020,"pake ini kalo kebanyakan bisa bikin muka ky disiram pk minyak, tp kalau pake nya tipis2 asli ini works bgt, bnr2 semelembabkan ituuuu, apalg dipakai sebelum makeup. makeupnya jd lebih nempel. so far sih gak bikin bruntusan. and yeah i like this moisturizer",4
Hada Labo,Perfect 3D Gel,Casanova,"Oily, 18 and Under",Casanova recommends this product!,07 Aug 2020,"(SOLD) Tekturnya unik bgtt, trs yg paling aku suka dia BIKIN GLOWING GT stlh make. Meresap nya jg cpt bgt. Tp klo pake nya kebanyakan jd lengket. Ini bgs bgt buat yg pake make up, jd nempel trs make up nya kaya tahan gt. Tp syg bgt di muka ku yg super oily ini dia krg n ... Read more",5
Hada Labo,Perfect 3D Gel,tasyainnama,"Combination, 19 - 24",tasyainnama doesn't recommend this product!,06 Aug 2020,"Pertama kali tertarik karena ini banyk yang review bagus akhirnya mau nyoba, pertama agak kaget dengan bentuk creamnya yang lumayan unik. aku coba ternyata gk cocok sama sekali. 3 hari pake banyak jerawat dan beruntusan akhirnya aku coba stop, tapi masih penasaran akhir ... Read more",1
Hada Labo,Perfect 3D Gel,Rahmayosifa,"Combination, 19 - 24",Rahmayosifa doesn't recommend this product!,05 Aug 2020,"aku ga cocok, baru pake pertama udh keluar bruntusan gitu, ga berani nerusin 😭 mau preloved kali aja ada yg mau.. masih kepake 3x, aku jual 70k , free ongkir daerah jawa.. minat chat w.a 087700920160 , thankyouu 🤗",3
Hada Labo,Perfect 3D Gel,tokyodre,"Oily, 18 and Under",tokyodre recommends this product!,03 Aug 2020,"[PRELOVED] gak suka bgt sama tekstur gel nya☹️ entah kenapa kek lengket gt hasilnya pokoknya gak suka huhu, masih penuh gapernah aku pake lagi.. jadi aku jual aja 80k (aku beli 87.500 lagi diskon dari 112.000) masih penuh yaa, ongkir bisa diaturr shopee only, tapi kalo ... Read more",3
Hada Labo,Perfect 3D Gel,aishdwie,"Combination, 19 - 24",aishdwie doesn't recommend this product!,30 Jul 2020,[SOLD]baru pertama kali nyoba dan beli karna liat yt di famaledaily trs aku pake pertama kali dimalam hari besok pagi nya bruntusan☹️ trs aku pake lagi dipagi dan malam eh lusa nya makin memerah😭 jadi aku mutusin untuk berhenti karna spt nya gacocok di aku dan aku mau ... Read more,2
Hada Labo,Perfect 3D Gel,Hifza_Faranesa,"Dry, 19 - 24",Hifza_Faranesa recommends this product!,30 Jul 2020,"Bentuknya gel bening gtu, katanya gaada baunya tpi menurut aku ini ada sedikit bau apa gtu, terksturnya agak lengket klo baru mau aply tpi buat di kulit yg normal to dry dia cepet merasap dan gak lengket lagi. Paginya di bagian Tzone sedikit berminyak. Kalo untuk mencer ... Read more",5
Hada Labo,Perfect 3D Gel,savmdy,"Oily, 18 and Under",savmdy recommends this product!,27 Jul 2020,"kulit jd breakout. sebelumnya ga pernah beruntusan skrng jd beruntusan, muncul jerawat jg ditempat tempat yg ga biasa jerawatan, kulit ku skrng juga kerasa bertekstur dan banyak kemerahan kemerahan dipipi mungkin iritasi(?). buat yg acne prone sebenernya bagus soalnya i ... Read more",1
Hada Labo,Perfect 3D Gel,prnmasari,"Combination, 19 - 24",prnmasari recommends this product!,27 Jul 2020,"Jadi aku nyoba pake ini karna mau ganti pelembab yang lebih murah. Warnanya bening, teksurnya tu gel gitu dan gada baunya sama sekali. Awal pake kayak merasa kering gitu muka, eh lama kelamaan kulit malah tekelupas gitu bagian pipi deket hidung:(. Aku nyoba juga karna s ... Read more",2
Hada Labo,Perfect 3D Gel,neniandita,"Combination, 35 - 39",neniandita recommends this product!,26 Jul 2020,bagusss... teksturnya unik gel bening gt yg klo diambil produknya bakalan lgsung kembali ke bentuk semula. selama pake ini keliatan hasilnya dmuka jd moist trus lebih cerah. minusnya agak lama nyerepnya apalagi kalo pake agak banyak trus walopun uda nyerep masih berasa ... Read more,4
Hada Labo,Perfect 3D Gel,ulfipujakesuma,"Normal, 19 - 24",ulfipujakesuma doesn't recommend this product!,23 Jul 2020,"pas apply produknya mukaku perih, karena emg sensitif kali yaa. mencerahkan iyaa, tp bikin bruntusann karena ga cocok. dan rasanya gatel tu bruntusannya. gacocok dah intinyaa waalaupun works di mencerahkannya. cerah doang tp bruntusan buat ape :(",2
Hada Labo,Perfect 3D Gel,y0ukha23,"Oily, 30 - 34",y0ukha23 recommends this product!,22 Jul 2020,"Cocooook banget pake ini, udah lama sih makenya. Yang jelas di aq, gak bikin iritasi,purging,breakout dan sejenisnya. Teksturnya gel banget dan gak ada wangi2nya jg,tp kalau udah dipake di kulit wajah,masih agak lengket2 gitu prtmanya trus meresap gak lama sih. Aq gak t ... Read more",4
Hada Labo,Perfect 3D Gel,Arfanisa,"Dry, 25 - 29",Arfanisa recommends this product!,20 Jul 2020,"1. gel nya ga lengket, cepet meresap, tapi setelah kering, kaya membentuk lapisan yang kaku gitu, kayak pakai masker peel off bening. agak kurang nyaman sih buat aku 2. ga bikin BO 3. saat di apply ga ada wangi yg nyengat, tapi justru tangan aku utk apply gel ini ada ba ... Read more",4
Hada Labo,Perfect 3D Gel,FadilaNuraini25,"Combination, 19 - 24",FadilaNuraini25 recommends this product!,19 Jul 2020,"Awalnya kulit aku tuh kering banget dehidrasi gitu aku coba produk ini baru pakai 2 hari kulit keringku langsung hilang dong kulit aku kenyal lembab banget type kulit aku kombi dry sensitive, kalau produk ini habis aku bakalan beli lagi habisnya bagus banget dikulit aku ... Read more",5
Hada Labo,Perfect 3D Gel,kanity,"Combination, 19 - 24",kanity recommends this product!,19 Jul 2020,"emang bagus buat dijadiin base makeup/primer 🥺🙌🏻 foundie bedak semuanya jadi nyatu, flawless gitu keliatannya . tapi gatau perasaanku apa gak, ini bisa nguap ya? soalnya aku jarang pake tapi lama lama makin dikit . padahal bentuknya gel gitu",4
Hada Labo,Perfect 3D Gel,ellenDeLouise,"Oily, 30 - 34",ellenDeLouise recommends this product!,19 Jul 2020,awalnya sih pas udah beli pembersih Hada Labo sekalian liat-liat produk Hada Labo yg lain..dan tertarik ma anti aging ma katanya bisa cetahin wajah jadi deh beli dan bener2 enak sih dimuka adem bangun2 muka cerahan tapi ga enaknya itu pas aplikasiin kemuka ya padahal be ... Read more,5
Hada Labo,Perfect 3D Gel,noniean,"Oily, 19 - 24",noniean recommends this product!,18 Jul 2020,"Di kulit aku yg oily parah tu agak susah mereseap ya pdhl bentukannya udh gel hiks. Trus temenku yg kulit normal cobain malah bagus dianya make cpt meresap, cuma harganya emang agak kurang bersahabat di kantong Mahasiswi hehe. Akhirnya aku ngasih ke tanteku, dan bgus ba ... Read more",3
Hada Labo,Perfect 3D Gel,nataliathana26,18 and Under,nataliathana26 recommends this product!,17 Jul 2020,"Bagus banget untuk yg kulitnya oily bentuknya gel satu produk 3 fungsi ada anti aging, mencerahkan,dan melembapkan. Aku ga terlalu suka pas diapply ke muka sih teskturnya. Aku preloved aja kondisi 90% 70k aja masih banyak higienis kok aku pake spatula ngambilnya. Dom ba ... Read more",5
Hada Labo,Perfect 3D Gel,selvigabrielaa,"Combination, 30 - 34",selvigabrielaa recommends this product!,16 Jul 2020,Aku direkomendasikan banget sama iparku krn hasilnya di dia + mertuaku bagus banget. Mukanya yg beruntusan jd lebih bagus. Untungnya dia suruh coba dl dan dikasihlah aku sample. Teksturnya lucu kaya slime jd pengen dipencet2. Bening dan hampir tak berbau sih menurut aku ... Read more,2
Hada Labo,Perfect 3D Gel,yulianiduwii,"Oily, 19 - 24",yulianiduwii recommends this product!,15 Jul 2020,Teksturnya bener-bener gel ya. Jujur kurang suka sama baunya (kaya bau apek gitu) tapi emang gak ada fragrancenya sih. Lengket banget waktu diaplikasikan dan bikin muka lembab. setelah pake ini muka jadi kenyal sih cuman bikin mukaku jadi kusam,4
Hada Labo,Perfect 3D Gel,alvinadin,"Oily, 19 - 24",alvinadin recommends this product!,15 Jul 2020,"SOLD OUT [PRELOVED] Halo aku preloved ini ya, baru aku pakai kurang dari seminggu, isi masih 90%an, Aku preloved karena ga cocok di mukaku, muncul bruntusan whitehead gitu kecil2 tapi sebenarnya melembabkan banget. Aku jual cuma 50rb aja dan masih ada box nya juga! dari ... Read more",3
Hada Labo,Perfect 3D Gel,gracechrstina,"Combination, 19 - 24",gracechrstina doesn't recommend this product!,13 Jul 2020,"Ini gacocok bangetbangett di aku,make ini muka aku langsung bo muncul jerawat beruntusan,pdhl teksturnya menurut aku enakk dia kayak gel gituu dan pas diaplikasiin ke kulit dia dinginnn. Aku gangerrtii sih kenapa bisa gacocok di aku🥺🥺padahal reviewannya bagusbaguss hu ... Read more",2
Hada Labo,Perfect 3D Gel,skinnystrangers,"Combination, 19 - 24",skinnystrangers recommends this product!,13 Jul 2020,"bener bener mirip gel, abis dipake pasti glowing banget dan lumayan bantu ngilangin jerawat. sayangnya cepet banget abis. efek lembapnya dapet banget. sayangnya gaada aplikatornya jd kurang higienis nyolek pake tangan langsung jd gimana gitu",5
Hada Labo,Perfect 3D Gel,ilmisaptiah,"Dry, 30 - 34",ilmisaptiah doesn't recommend this product!,12 Jul 2020,"enak sih di mukaku, yg tadinya kering jd lembab gt. pagi2 bangun kenyal gt mukanya, tp 3 hr pemakaian, muncul jerawat gede2. aku off 2 hr, ilang jerawatnya, ku pakai lagi muncul lagi :(( . awalnya mikir jerawat muncul mungkin krn hormon, googling ada jg yg kyk gini. sye ... Read more",3
Hada Labo,Perfect 3D Gel,MALA_,35 - 39,MALA_ recommends this product!,12 Jul 2020,"Di aku beneran kerja. Melembabkan bgt. Tp gak lebay.Gak bikin jerawat, malah jerawat batu ga mau numbuh lagi sampe sekarang uda 1 bln pakai dan baru habis setengah krn pakai dikit aja uda ngelock lembab diwajah. Aq pake pagi dan malam.",5
Hada Labo,Perfect 3D Gel,angela27,"Oily, 19 - 24",angela27 doesn't recommend this product!,10 Jul 2020,"Aku kira semua produk hadalabo udah pasti cocok di aku, ternyata yg ini enggaa huhuhu. Setelah dipake, pasti 2 hari kemudian muncul bruntusan. Trus sempet di skip dan coba pake lagi di bagian rahang, ternyata emg bruntusan lagi alias ngga cocok. Padahal teksturnya gel y ... Read more",2
Hada Labo,Perfect 3D Gel,ldcspring,"Combination, 25 - 29",ldcspring doesn't recommend this product!,09 Jul 2020,"Teksturnya sih enak, gel gitu ya. Cuma di aku ga cocok, pake ini berasanya panas di wajah. Lalu entah kenapa jadi timbul jerawat padahal tadinya kondisi wajah aku baik2 aja dan lagi gak pake skincare lainnya. Karena emang mau ngetest dulu.",2
Hada Labo,Perfect 3D Gel,ekaspm,"Normal, 25 - 29",ekaspm recommends this product!,09 Jul 2020,"selama 3 bulan ini aku pakai dia tiap malem dan makin berasa lembab bgt mukaku,ku belom dpt another benefit from this product but i love the textured when i applied every night,then when i woke up my face feel so moist 😍",4
Hada Labo,Perfect 3D Gel,anssrha,"Combination, 19 - 24",anssrha recommends this product!,09 Jul 2020,"tekstur gel nya bagus buat ngunci kelembaban kulitku, pake dikit aja diaplikasiin dan udh ngelembabin bgt smp pagi, ga bikin clogged pores, lumayan membuat glowing wajahku, cuma kdg di Tzone suka oily kalo terlalu banyak diaplikasiin",4
Hada Labo,Perfect 3D Gel,aureliaputri,"Combination, 18 and Under",aureliaputri recommends this product!,08 Jul 2020,OMG gila banget!! dulu aku beli pas masih belum terlalu mudeng tentang skincare makanya aku asal beli wkwkwk terus aku campur dgn salah satu produk yg emg gacocok diaku dan akhirnya breakout.. akhirnya dia nganggur hampir setaun wkwkw dan saat aku udh mulau ngerti aku p ... Read more,5
Hada Labo,Perfect 3D Gel,Naominathaliaeve,"Oily, 19 - 24",Naominathaliaeve recommends this product!,08 Jul 2020,"I really adore this moisturizer. The texture is thick gel, it leaves the skin feeling pretty tacky. Which is nice if you want to use this as a makeup primer. But i also like using this as a night cream, especially whenever i'm using quite harsh actives (vitamin c, retin ... Read more",5
Hada Labo,Perfect 3D Gel,Rimayunitta,"Combination, 18 and Under",Rimayunitta recommends this product!,04 Jul 2020,"Aku bingung padahal dari komposisi bahan aktifnya bagus , ada arbutin+ niacinemide tapi bikin ada jerawat kecil di pagi harinya. Ada yg sama ga ? Apakah karna paraben? Huu aku mau jual aja yah siapa tau ada yg cocok. Kondisinya masih 90 persen",4
Hada Labo,Perfect 3D Gel,Nadealf,"Combination, 19 - 24",Nadealf doesn't recommend this product!,03 Jul 2020,"jujur beli ini udah lama banget biasa keracunan fd dan akhirnya jarang dipake, kebetulan expirednya masih tahun depan aku coba pake aja lagi karna sayang. pas dipake akhirnya ngeh kenapa ini gapernah dipake pdhl harganya lumayan pricey buat ukuran segini. teksturnya luc ... Read more",1
Hada Labo,Perfect 3D Gel,Mangkawani,"Oily, 25 - 29",Mangkawani doesn't recommend this product!,02 Jul 2020,tekstur dari produk ini tuh kayak jelly yang diminum tapi menyerap dengan baik. sayangnya dia nggak cocok dikulit aku yang sensitif. agak sedikit bikin kulit panas dan membuat kulit ku jadi kemerahan.,2
Hada Labo,Perfect 3D Gel,oneonlynana,"Oily, 18 and Under",oneonlynana recommends this product!,01 Jul 2020,Buat base makeup ini bagus bgttt sih bikin makeup lbh nempel & nahan minyak bgt pdhl aku minyakan super banyakk trs kalo dipakenya sblm tidur pas bangun tuh muka kenyal gt suka tp krn aku jarang pake makeup tbl kalo pake ini doang jd keliatan kusam gt huhu jadi aku kasi ... Read more,4
Hada Labo,Perfect 3D Gel,oktaviakristantia,"Combination, 19 - 24",oktaviakristantia recommends this product!,01 Jul 2020,"Aku udah pakai 4 hari. Teksturnya lucu kaya agar2, bening, gak berbau, ga bikin kulitku tambah berminyak, cepat meresap. Sayangnya karna teksturnya, terkesan rada jorok karna gaada spatulanya. Saranku jangan pake terlalu tebal",5
Hada Labo,Perfect 3D Gel,puspacandrad,"Combination, 19 - 24",puspacandrad doesn't recommend this product!,30 Jun 2020,"aku pas habis make ini itu rasanya wajah kayak panas gitu, padahal dulu pas awal awal pake gak ada sensasi panasnya. Teksturnya itu gel bening dan agak lengket sih tapi setelah di apply ke muka dia gampang di apply kalo di wajahku dan aromanya juga kayak obat gitu bagik ... Read more",3
Hada Labo,Perfect 3D Gel,AMIRahhh99,"Oily, 19 - 24",AMIRahhh99 recommends this product!,30 Jun 2020,"(SOLD). suka banget sama nih produk. klo dipake lembab banget dan agak lengket, cocoknya buat sleeping mask. bentuknya gel gitu. lumayan membantu menghilangkan bekas jerawat.tapi isinya kurang full sih, mungkin emang segitu klo cuma 40ml. Aku mau preloved, soalnya ada a ... Read more",5
Hada Labo,Perfect 3D Gel,Znbsyhb,"Combination, 19 - 24",Znbsyhb recommends this product!,30 Jun 2020,"udah pake ini di berbagai jenis musim , musim dingin ampe panas selalu okee buat atasin wajah kering tekstur nya gel bening transparant kemasan nya pink tua gitu dr plastik bukan kaca jd gabakalan pecah,bentuk nya gak terlalu besar dan ga terlalu kecil, travel friendly ... Read more",5
Hada Labo,Perfect 3D Gel,Inekeyustisia,"Combination, 19 - 24",Inekeyustisia recommends this product!,28 Jun 2020,"Teksturnya ini unik, Gel bening tapi cukup padat, jadi ketika ambil harus di colek. Dan lucunya ketika dicolek gel di dalam jar akan balik ke posisi semula. Ketika diaplikasikan ke kulit dia langsung melting, bener-bener leleh ketika kena kulit dan langsung menyerap ke ... Read more",5
